all-of-us/workbench	3065	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM3MzIxNzMzOA==	Naming nit: for consistency w/ the class name, prefer 'workspaceService' as the member variable name.	False
all-of-us/workbench	3040	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM3MjE2MDYxMw==	nit: I'd prefer ServerException to a RuntimeException, here and below	True
all-of-us/workbench	3091	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM3NTMyMzc3OA==	nit: It takes a bit of getting used to, but I think it's cleaner to do Optional.ofNullable(dbDemographicSurvey.getGenderIdentityEnumList())     .map(g -> g.stream().map(RdrExportEnums::genderToRdrGender).collect(Collectors.toList()))     .ifPresent(researcher::setGender);  if, null, and != should generally be minimized IMO.	True
all-of-us/workbench	3887	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ3NTY4ODYzNg==	When renaming a concept set it calls this method and conceptSet.getConcepts throws a null pointer exception. Please wrap this in a null/empty check                         Suggested change                                                                                                    validateConceptSet(                                                        dbConceptSet,                                                        conceptSet.getConcepts().stream()                                                            .map(concept -> concept.getConceptId())                                                            .collect(Collectors.toList()));                                                   if (!CollectionUtils.isEmpty(conceptSet.getConcepts())) {                                                      validateConceptSet(                                                          dbConceptSet,                                                          conceptSet.getConcepts().stream()                                                              .map(concept -> concept.getConceptId())                                                              .collect(Collectors.toList()));                                                    }	False
alluxio/alluxio	11513	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQzODI3NTEyNg==	Suggested change                                                                                                                    mMountTable.checkUnderWritableMountPoint(childPath.getUri());                                                                  mMountTable.checkUnderWritableMountPoint(childPath.getUri());                                 checkstyle is complaining with: error: 'if' child have incorrect indentation level 20, expected level should be 18.	False
ankidroid/anki-android	6372	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ2MDA0NjM0Nw==	nit                         Suggested change                                                                                                                    int startIndex = mCheckedCards.isEmpty() ? 0: mCheckedCards.iterator().next().getPosition();                                                                    int startIndex = mCheckedCards.isEmpty() ? 0 : mCheckedCards.iterator().next().getPosition();	True
ankidroid/anki-android	6750	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ2MDU2MTQwMw==	nit: I feel a static method accepting a card and enum value, returning a class (name doesn't matter) would be better than a constructor here  Accepting a card makes the intent clear - it's the card that we care about, and getting the siblings is an implementation detail The intent of the method (revertToProvidedState) won't change, and that provides more meaning than the name of the class	True
ankidroid/anki-android	6027	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQwOTU4MDgyMA==	oh wait - I forgot this - this happened to @david-allison-1 also, you should look in Android Studio preferences and set which packages to include in suggestions. The NotNull annotation should come from android.annotations package, not the jetbrains internal package (they are the company that makes IntelliJ IDE which is what Android Studio is based on - good people, but I want to depend on the android libraries not jetbrains)	True
anuken/mindustry	3267	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDU0Njg2OTMxMw==	Suggested change                                                                                                        Cons<String>[] rebuild = new Cons[]{null};                                                        Table[] pane = new Table[]{null};                                                        Cons<String>[] rebuild = {null};                                                        Table[] pane = {null};	False
apache/accumulo	1653	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ4OTAwMDc1OA==	Suggested change                                                                                                        TabletMutator tabletMutator = tabletsMutator.mutateTablet(tls.extent);                                                        tabletMutator.deleteSuspension();                                                        tabletMutator.mutate();                                                        tabletsMutator.mutateTablet(tls.extent).deleteSuspension().mutate();	False
